Time,T_Outdoor_Temperature_C,m_dot_water
6/2/2023 8:00,15.37083333,0.047552854
6/2/2023 8:05,15.91038889,0.061788581
6/2/2023 8:10,16.39583333,0.062237409
6/2/2023 8:15,16.6625,0.03143039
6/2/2023 8:20,16.7875,0
6/2/2023 8:25,17.00416667,0
6/2/2023 8:30,17.21666667,0.002125697
6/2/2023 8:35,17.43333333,0.063159998
6/2/2023 8:40,17.67916667,0.044566905
6/2/2023 8:45,18.06666667,0.001346482
6/2/2023 8:50,18.64166667,0.003684125
6/2/2023 8:55,19.20833333,0
6/2/2023 9:00,19.95416667,0
6/2/2023 9:05,20.29166667,0.016207658
6/2/2023 9:10,20.4375,0.020101652
6/2/2023 9:15,20.64583333,0
6/2/2023 9:20,20.9375,0.004704377
6/2/2023 9:25,21.38333333,0.00051532
6/2/2023 9:30,21.5,0.008207725
6/2/2023 9:35,21.65416667,0
6/2/2023 9:40,21.83333333,0
6/2/2023 9:45,21.99583333,0
6/2/2023 9:50,22.29583333,0
6/2/2023 9:55,22.55,0
6/2/2023 10:00,22.8,0
6/2/2023 10:05,23.0125,0
6/2/2023 10:10,23.275,0
6/2/2023 10:15,23.42083333,0
6/2/2023 10:20,23.55416667,0
6/2/2023 10:25,23.77916667,0
6/2/2023 10:30,23.97916667,0
6/2/2023 10:35,24.3,0
6/2/2023 10:40,24.5,0
6/2/2023 10:45,24.8375,0
6/2/2023 10:50,24.96666667,0
6/2/2023 10:55,25.0125,0
6/2/2023 11:00,25.125,0
6/2/2023 11:05,25.2125,0
6/2/2023 11:10,25.44583333,0
6/2/2023 11:15,25.64583333,0
6/2/2023 11:20,25.87083333,0
6/2/2023 11:25,26.01666667,0
6/2/2023 11:30,26.28333333,0
6/2/2023 11:35,26.44166667,0
6/2/2023 11:40,26.6625,0
6/2/2023 11:45,26.99583333,0
6/2/2023 11:50,27.24166667,0
6/2/2023 11:55,27.475,0
6/2/2023 12:00,27.54166667,0
6/2/2023 12:05,27.6875,0
6/2/2023 12:10,27.99583333,0
6/2/2023 12:15,28.17916667,0
6/2/2023 12:20,28.275,0
6/2/2023 12:25,28.3875,0
6/2/2023 12:30,28.6625,0
6/2/2023 12:35,28.80833333,0
